[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | SQL: SELECT `id`,`name`,`module`,`group_id`,`title`,`action` FROM tp_admin.xc_node WHERE ( `level` = '2' AND `is_show` = '1' AND `status` = '1' AND `pid` = '' ) ORDER BY sort asc  [ RunTime:0.000000s ]
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | NOTIC: [8] Undefined index: _ACCESS_LIST PublicAction.class.php 第 60 行.
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ view_template ] --START--
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ view_parse ] --START--
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run ParseTemplate Behavior [ RunTime:0.006000s ]
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006000s ]
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ view_filter ] --START--
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
