[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/footer | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/footer | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/footer | INFO: Tag[ app_begin ] --START--
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/footer | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/footer | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | SQL: SHOW COLUMNS FROM `xc_ip` [ RunTime:0.002000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | SQL: SHOW COLUMNS FROM `xc_user` [ RunTime:0.002000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | SQL: SHOW COLUMNS FROM `xc_sms` [ RunTime:0.001001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | INFO: Tag[ view_template ] --START--
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | INFO: Tag[ view_parse ] --START--
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | INFO: Run ParseTemplate Behavior [ RunTime:0.017001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | INFO: Tag[ view_filter ] --START--
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | INFO: Tag[ view_end ] --START--
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/footer | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | INFO: Tag[ route_check ] --START--
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | INFO: Tag[ app_begin ] --START--
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_carbrand [ RunTime:0.002000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_carmodel [ RunTime:0.013000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_car_style [ RunTime:0.025002s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_checkreport_total [ RunTime:0.124007s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_check_step [ RunTime:0.022001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_technician [ RunTime:0.043003s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_technician_schedule [ RunTime:0.006000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_item_oil [ RunTime:0.021001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_item_filter [ RunTime:0.017001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_carseries [ RunTime:0.010001s ]
